,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
101.,COGENERATION-KRAFTWERKE MANAGEMENT OBEROESTERREICH GMBH,BOEHMERWALDSTR. 3,LINZ,Austria,3530,n.a.,26,26,30,42,51,54,43,n.a.,n.a.,n.a.,1,1,1,1,2,2,n.a.,n.a.,n.a.
102.,ENERGIE AG OBEROESTERREICH WAERME GMBH,BOEHMERWALDSTR. 3,LINZ POSTFACH,Austria,3530,n.a.,22,22,21,22,20,19,18,n.a.,n.a.,n.a.,34,41,30,30,25,n.a.,n.a.,n.a.,n.a.
103.,WALTHER SPRITZ- UND LACKIERSYSTEME GMBH,KAERNTNER STR. 18 -30,WUPPERTAL,Germany,2829,n.a.,n.a.,23,23,21,23,23,19,16,23,n.a.,n.a.,134,138,135,135,136,123,122,130
104.,FERNWAERME ST. POELTEN GMBH,JULIUS RAAB PROMENADE 49,ST. POELTEN,Austria,3530,n.a.,21,23,24,27,26,24,23,n.a.,n.a.,n.a.,10,6,6,5,3,n.a.,n.a.,n.a.,n.a.
105.,IMERYS CARBONATES AUSTRIA GMBH,BAHNHOFSTRASSE 40,EBENSEE,Austria,2000,n.a.,10,10,25,26,25,46,40,n.a.,n.a.,n.a.,40,40,35,35,n.a.,56,n.a.,n.a.,n.a.
106.,COMELLI-ZIEGEL GESELLSCHAFT M.B.H.,MAXENDORF 43,KIRCHBACH,Austria,2332,n.a.,10,10,n.a.,n.a.,6,6,6,n.a.,n.a.,n.a.,29,29,29,25,25,25,25,n.a.,n.a.
107.,ENERGIE-CONTRACTING STEYR GMBH,SCHOENAUERSTRASSE 5,STEYR,Austria,3530,n.a.,9,9,9,10,10,10,8,n.a.,n.a.,n.a.,20,20,20,21,n.a.,17,n.a.,n.a.,n.a.
108.,W&P KALK GMBH,FERDINAND-JERGITSCH-STRASSE 15,KLAGENFURT AM WOERTHERSEE,Austria,2352,n.a.,9,9,8,9,9,9,n.a.,n.a.,n.a.,n.a.,17,16,17,14,14,25,n.a.,n.a.,n.a.
109.,SENFTENBACHER ZIEGELWERK FLOTZINGER GMBH & CO KG,BRUCK 31,SENFTENBACH,Austria,2332,n.a.,8,9,8,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,30,29,29,30,27,27,n.a.,27,n.a.
110.,STYROMAGNESIT STEIRISCHE MAGNESITINDUSTRIE GMBH,OBERDORF 41,ST. KATHAREIN AN DER LAMING,Austria,0899,n.a.,8,8,8,9,9,6,n.a.,n.a.,n.a.,n.a.,40,40,40,39,41,33,n.a.,n.a.,n.a.
111.,LIAS OESTERREICH GESMBH,FABRIKSTRASSE 11,FEHRING,Austria,2332,n.a.,7,7,n.a.,6,7,6,n.a.,n.a.,n.a.,n.a.,30,26,26,25,35,35,n.a.,n.a.,n.a.
112.,MARTIN PICHLER ZIEGELWERK GMBH.,ZIEGELEISTRASSE 14,ASCHACH AN DER DONAU,Austria,2332,n.a.,6,6,6,n.a.,n.a.,n.a.,5,4,n.a.,n.a.,24,24,22,27,n.a.,27,30,30,n.a.
113.,ZIEGELWERK DANREITER GMBH & CO KG,OTTENBACH 14,TUMELTSHAM,Austria,2332,n.a.,4,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25,20,30,n.a.,11,18,18,n.a.,n.a.
114.,SALZBURGER ZIEGELWERK GESELLSCHAFT M.B.H. & CO.,SCHLOSSBERG 5,UTTENDORF (OOE),Austria,2332,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.
115.,PROXIMA,"UL. MARSHALA GOVOROVA D.37, LIT. A, OFFICE 418A",SAINT-PETERSBURG,Russian Federation,4630,n.a.,2,2,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,21,26,17,12,n.a.,n.a.,n.a.,n.a.,n.a.
116.,WEINDL GESELLSCHAFT M.B.H.,WEINZIERLSTR. 2 UND 4,STEYR,Austria,2332,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6,n.a.,n.a.,n.a.,n.a.,9,16,n.a.,n.a.
117.,ZIEGELWERK NEUHOFEN K. F. U. DIPL. ING. H. OBERMAIR GESELLSCHAFT MBH & CO.KG.,DAMBACH 35,NEUHOFEN/KREMS,Austria,0899,1,n.a.,1,1,n.a.,n.a.,1,n.a.,n.a.,n.a.,6,6,6,7,8,8,n.a.,n.a.,n.a.,n.a.
118.,GEORGE TOWN MANAGEMENT LLC,495 S FAIRVIEW AVE,GOLETA,United States of America,8411,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
119.,MITTELDICHTE FASERPLATTEN HALLEIN GMBH & CO KG,SOLVAY-HALVIC-STRASSE 46,HALLEIN,Austria,6832,n.a.,1,1,15,66,65,64,53,n.a.,n.a.,n.a.,n.a.,n.a.,20,110,100,100,100,n.a.,n.a.
120.,ZIEGELWERK EBERSCHWANG GESELLSCHAFT M.B.H.,STRASS 11,EBERSCHWANG,Austria,4673,n.a.,0,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,5,12,14,14,14,n.a.,n.a.,n.a.
121.,INGRID FRICK,WALSERSTRASSE 58,RIEZLERN,Austria,9602,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
122.,ARTJET LTD.,C/O BERMUDA CORPORATE & TRUST LAW LIMITED,HAMILTON,Bermuda,6420,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
123.,MICHAEL STRASSER GMBH & CO KG,LAIM 101,PORT ORANGE,United States of America,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
124.,AIR CHARTER LIMITED,ROOM 322,GATWICK,United Kingdom,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
125.,RAUCH FRUCHTSAEFTE GMBH & CO OG,LANGGASSE 1,RANKWEIL,Austria,1032,n.a.,881,859,809,806,800,723,n.a.,n.a.,n.a.,"1,829","1,829","1,784","1,682","1,561","1,561","1,385",n.a.,n.a.,n.a.
126.,D. SWAROVSKI KG,SWAROVSKISTRASSE 30,WATTENS,Austria,2319,n.a.,"2,600","2,600",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,800","4,800","4,800","5,200","5,200","5,200","5,200",n.a.,n.a.,n.a.
127.,ZIEGELWERK EDER GMBH & CO.KG.,BRUCK 39,BRUCK-WAASEN,Austria,2332,n.a.,20,n.a.,n.a.,20,20,20,n.a.,n.a.,n.a.,60,60,60,60,60,60,60,n.a.,n.a.,n.a.
128.,OEBB-INFRASTRUKTUR AKTIENGESELLSCHAFT,PRATERSTERN 3,WIEN,Austria,7110,n.a.,"2,100","2,027","2,100","2,205","2,101","2,097",n.a.,n.a.,n.a.,"16,000","16,317","16,262","15,537","14,721","14,227","15,747",n.a.,n.a.,n.a.
129.,M. KAINDL KG,KAINDLSTRASSE 2,WALS,Austria,1621,n.a.,284,276,278,277,292,299,n.a.,n.a.,n.a.,548,551,551,569,563,560,590,n.a.,n.a.,n.a.
130.,VITTORIO NICOLOSO,BAHNSTRASSE 50,POTTENBRUNN,Austria,2332,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
131.,ZIEGELEI RHOMBERG GESELLSCHAFT M.B.H.,STEINACKERSTRASSE 19,DORNBIRN,Austria,6420,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,n.a.,1,1,1,n.a.,n.a.
132.,"ZIEGELEI HILTI, METTAUER GMBH",UDELBERGSTRASSE 30,GOETZIS,Austria,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
133.,INTERSKY LUFTFAHRT GMBH,BAHNHOFSTRASSE 10,BREGENZ,Austria,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5,26,2,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
134.,F.M. HAEMMERLE TEXTIL PRODUKTION UND VERTRIEB GMBH,EISENGASSE 44,DORNBIRN,Austria,1399,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
135.,ALTENRHEIN LUFTFAHRT GMBH,"OFFICE PARK 3, TOP 312",WIEN-FLUGHAFEN,Austria,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18,n.a.,19,n.a.,n.a.,20,n.a.,n.a.
136.,GASSERKUNERT GMBH,SCHWEIZER STRASSE 96,RANKWEIL,Austria,1330,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
137.,OESTERREICHISCHE NOVOPAN HOLZINDUSTRIE OG,TURMGASSE 43,LEOBEN,Austria,6820,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
138.,HERBERT PEXIDER GESELLSCHAFT M.B.H.,BUNDESSTRASSE 6,TEUFENBACH,Austria,2342,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
139.,TECHNOGLAS PRODUKTIONS- GESELLSCHAFT M.B.H.,ARNSTEINSTR. 22,VOITSBERG,Austria,2319,n.a.,n.a.,n.a.,15,18,20,n.a.,25,n.a.,n.a.,n.a.,130,130,160,197,222,222,n.a.,n.a.,n.a.
140.,LYCOAIR GMBH,GRAZBACHGASSE 87,GRAZ,Austria,8299,n.a.,n.a.,n.a.,n.a.,2,2,0,n.a.,n.a.,n.a.,n.a.,n.a.,2,1,n.a.,2,2,n.a.,n.a.,n.a.
141.,SCHRETTER & CIE GMBH & CO KG,BAHNHOFSTRASSE 27,VILS,Austria,2352,n.a.,n.a.,n.a.,23,21,21,21,21,n.a.,34,n.a.,173,173,173,180,180,178,n.a.,n.a.,n.a.
142.,TYROLEAN JET SERVICE NFG GMBH & CO KG,FUERSTENWEG 180,INNSBRUCK,Austria,3316,n.a.,n.a.,7,6,6,8,6,7,n.a.,n.a.,n.a.,69,63,64,65,65,72,n.a.,n.a.,n.a.
143.,BIOENERGIE KUFSTEIN GMBH,FISCHERGRIES 2,KUFSTEIN,Austria,3511,n.a.,n.a.,n.a.,2,5,5,4,5,3,n.a.,n.a.,n.a.,2,2,2,2,2,n.a.,n.a.,n.a.
144.,CRYSTAL-ENERGY GMBH,SWAROVSKISTRASSE 30,WATTENS,Austria,3530,n.a.,n.a.,1,1,1,1,n.a.,1,n.a.,n.a.,n.a.,2,2,1,2,n.a.,2,n.a.,n.a.,n.a.
145.,STADTWERKE HALL IN TIROL GMBH,AUGASSE 6,HALL IN TIROL,Austria,3511,n.a.,n.a.,34,32,32,34,29,30,n.a.,n.a.,n.a.,49,47,47,n.a.,52,52,n.a.,n.a.,n.a.
146.,"BAUMIT"" BAUSTOFFE GESELLSCHAFT M.B.H.",LINZER STRASSE 8,BAD ISCHL,Austria,2030,n.a.,n.a.,17,17,17,17,16,17,15,15,n.a.,91,91,94,90,90,85,n.a.,n.a.,n.a.
147.,LEITL SPANNTON GESELLSCHAFT M.B.H.,LEITL-STRASSE 1,HINZENBACH,Austria,2332,n.a.,n.a.,10,n.a.,9,9,9,n.a.,n.a.,n.a.,n.a.,70,80,80,78,73,68,n.a.,n.a.,n.a.
148.,WIESNER-HAGER ZENTRALE DIENSTE GESELLSCHAFT M.B.H.,LINZERSTRASSE 22,ALTHEIM (OOE),Austria,3511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15,15,15,25,n.a.
149.,KIRCHDORFER ZEMENTWERK HOFMANN GESELLSCHAFT M.B.H.,HOFMANNSTRASSE 4,KIRCHDORF AN DER KREMS,Austria,2351,n.a.,n.a.,n.a.,23,n.a.,21,20,30,n.a.,n.a.,n.a.,113,113,100,n.a.,100,100,n.a.,n.a.,n.a.
150.,MERCKENS KARTON- UND PAPPENFABRIK GMBH,JOSEFSTAL 10,SCHWERTBERG,Austria,1712,n.a.,n.a.,n.a.,6,6,7,6,5,n.a.,n.a.,n.a.,62,62,61,61,61,68,n.a.,n.a.,n.a.
151.,ZIEGELWERK PICHLER WELS GESELLSCHAFT M.B.H.,EFERDINGERSTR. 175,WELS,Austria,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,n.a.,n.a.,n.a.,24,23,23,24,24,23,n.a.,n.a.,n.a.
152.,TKV OBEROESTERREICH GMBH,NR. 63,REGAU,Austria,3822,n.a.,n.a.,10,11,12,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,89,85,84,82,90,n.a.,n.a.,n.a.
153.,FEWOTEL BETRIEBSGESELLSCHAFT M.B.H. & CO. KG,NIKOLAIGASSE 22,VILLACH,Austria,7735,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
154.,"ZIEGELWERK BRENNER, F. WIRTH GESELLSCHAFT M.B.H.",SCHOENWEG 39,ST. ANDRAE IM LAVANTTAL,Austria,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,33,31,31,31,25,24,n.a.,n.a.,n.a.
155.,STADTWAERME LIENZ PRODUKTIONS- UND VERTRIEBS-GMBH,AGUNTSTR. 54,LIENZ,Austria,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8,n.a.,7,n.a.,7,7,7,n.a.,n.a.
156.,"GLOCK SERVICES GMBH ""GELOESCHT",SCHNEEWEISSHOFWEG 32,TREFFEN AM OSSIACHER SEE,Austria,9609,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
157.,AUSTIN JET HOLDING GMBH,PARKRING 12,WIEN,Austria,6420,n.a.,n.a.,n.a.,n.a.,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
158.,PAPPENFABRIK TIMMERSDORF GMBH,ASPERNBRUECKENGASSE 4,WIEN,Austria,1712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
159.,LAUDAMOTION GMBH,CONCORDE BUSINESS PARK 2 /F/10,SCHWECHAT,Austria,5110,n.a.,n.a.,6,6,n.a.,n.a.,n.a.,27,n.a.,n.a.,n.a.,37,38,131,100,50,47,n.a.,n.a.,n.a.
160.,"ATMOSA"" PETROCHEMIE GMBH",DANUBIASTRASSE 21,SCHWECHAT-MANNSWOERTH,Austria,2014,n.a.,n.a.,n.a.,41,49,9,8,9,8,n.a.,n.a.,n.a.,41,41,45,43,n.a.,45,n.a.,n.a.
161.,A-TEC BETEILIGUNGS GMBH,DR.-KARL-LUEGER-RING 12 /1.STOCK,WIEN,Austria,7010,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
162.,PROFUEMED GMBH,WECHSEL BUNDESSTRASSE 81,GRIMMENSTEIN,Austria,2120,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,70,72,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
163.,KRONO AIR GMBH,KAINDLSTRASSE 2,WALS,Austria,5100,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
164.,THE FLYING BULLS GMBH,"WILHELM-SPAZIER-STRASSE, HANGAR- 8",SALZBURG,Austria,5223,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,63,63,62,61,57,57,n.a.,n.a.,n.a.
165.,ZIEGELWERK LIZZI GMBH,BROMBERGER STRASSE 3,BAD ERLACH,Austria,2332,n.a.,n.a.,n.a.,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14,16,14,n.a.,n.a.,n.a.,n.a.,16,n.a.
166.,GA IMMOBILIEN GMBH,HERZOGENBURGERSTRASSE 69,ST.POELTEN,Austria,6832,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,3,n.a.,n.a.,n.a.,3,3,3,4,n.a.,n.a.,1,n.a.,n.a.
167.,UIAV GMBH,WEINBERGSTRASSE 17,CHAM,Switzerland,4690,4,5,5,4,4,4,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.
