,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
128.,KEMIJARVEN LAMPO JA VESI OY,VAPAUDENKATU 10-12 A 7,KEMIJARVI,Finland,3530,n.a.,7,6,6,6,5,5,5,3,3,n.a.,n.a.,n.a.,9,15,8,8,9,9,8
101.,KEMIN ENERGIA JA VESI OY,KALKKINOKANTIE 5,KEMI,Finland,3511,n.a.,22,n.a.,n.a.,n.a.,17,16,16,15,14,n.a.,68,n.a.,n.a.,n.a.,49,51,49,50,55
144.,KERAMIA OY,MJOSUNDINTIE 1101,MJOSUND,Finland,2332,n.a.,4,5,6,6,7,7,7,6,7,n.a.,40,42,44,44,44,46,n.a.,n.a.,n.a.
68.,KERAVAN ENERGIA OY,TERVAHAUDANKATU 6,KERAVA,Finland,3513,n.a.,73,73,77,79,78,70,66,63,55,n.a.,n.a.,92,99,100,106,106,113,107,107
81.,KESKUSOSUUSKUNTA OULUN SEUDUN SAHKO,VOIMATIE 2,KEMPELE,Finland,3512,n.a.,48,43,45,44,45,47,36,29,31,n.a.,34,37,39,40,42,43,41,39,39
131.,KEURUUN LAMPOVOIMA OY,YLIAHONTIE 19,KEURUU,Finland,3530,n.a.,7,6,7,7,8,7,6,3,3,n.a.,11,n.a.,11,11,10,10,10,10,4
79.,KOKKOLAN ENERGIA OY,VARASTOTIE 3,KOKKOLA,Finland,3511,n.a.,50,51,23,23,20,20,21,7,n.a.,n.a.,102,111,51,52,55,57,60,60,n.a.
34.,KOSKISEN OY,TEHDASTIE 2,JARVELA,Finland,1621,n.a.,218,210,207,191,173,182,n.a.,116,179,n.a.,925,897,852,790,755,814,n.a.,801,869
24.,KOTKAMILLS OY,NORSKANKATU 6,KOTKA,Finland,1712,n.a.,n.a.,n.a.,267,272,273,257,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,553,584,605,618,n.a.,n.a.,n.a.
78.,KOTKAN ENERGIA OY,LIITULAHDENTIE 1,KOTKA,Finland,3511,n.a.,52,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,97,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
120.,KRAFTNAT AALAND AB,ELVERKSGATAN 10,MARIEHAMN,Finland,3512,n.a.,10,9,9,8,7,7,7,7,7,n.a.,15,15,14,14,15,14,15,14,13
55.,KSS ENERGIA OY,HOVIOIKEUDENKATU 3,KOUVOLA,Finland,3514,n.a.,121,117,122,127,125,115,123,91,85,n.a.,117,122,130,132,138,131,127,103,99
88.,KSS LAMPO OY,HOVIOIKEUDENKATU 3,KOUVOLA,Finland,3530,n.a.,39,37,38,39,39,33,30,17,11,n.a.,6,6,6,6,6,7,18,13,10
129.,KUHMON LAMPO OY,HYRYNTIE 40,KUHMO,Finland,3530,n.a.,7,7,7,6,6,6,6,5,4,n.a.,16,15,16,n.a.,15,15,17,16,16
130.,KUMPUNIEMEN VOIMA OY,VANERITEHTAANKATU 1,SUOLAHTI,Finland,3530,n.a.,7,7,7,n.a.,6,6,5,4,4,n.a.,13,13,n.a.,n.a.,13,n.a.,n.a.,13,12
59.,KUOPION ENERGIA OY,SNELLMANINKATU 25,KUOPIO,Finland,3511,n.a.,105,99,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,162,153,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
126.,KUUSAMON ENERGIA- JA VESIOSUUSKUNTA,ERAUSPOJANTIE 3,KUUSAMO,Finland,3600,n.a.,8,8,8,8,8,7,7,7,7,n.a.,28,29,32,32,33,30,33,34,34
105.,KUUSAMON JUUSTO OY,KITKANTIE 110,KUUSAMO,Finland,1051,n.a.,20,19,18,20,46,48,44,43,53,n.a.,79,81,84,91,92,98,107,97,95
98.,LAANILAN VOIMA OY,TYPPITIE,OULU,Finland,3511,n.a.,26,25,26,25,25,21,20,20,16,n.a.,31,31,29,32,35,31,28,28,26
40.,LAHTI ENERGIA OY,KAUPPAKATU 31,LAHTI,Finland,3511,n.a.,178,170,185,186,190,175,182,164,159,n.a.,207,215,236,259,249,242,233,229,219
154.,LAITILAN LAMPO OY,VIHTORINKATU 2,LAITILA,Finland,3530,n.a.,2,2,2,2,2,2,2,2,2,n.a.,2,2,3,4,4,n.a.,n.a.,4,n.a.
50.,LAPPEENRANNAN ENERGIA OY,SIMOLANTIE 18,LAPPEENRANTA,Finland,3514,n.a.,135,129,134,126,127,116,101,96,76,n.a.,158,237,230,237,248,243,193,199,179
138.,LAPUAN ENERGIA OY,MAKASIININTIE 7,LAPUA,Finland,3530,n.a.,5,5,5,6,5,4,4,3,3,n.a.,11,11,12,11,11,11,11,n.a.,n.a.
174.,LECA FINLAND OY,HELSINGINTIE 235,KUUSANKOSKI,Finland,2399,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
73.,LEPPAKOSKEN SAHKO OY,EINO SALMELAISEN KATU 23,IKAALINEN,Finland,3512,n.a.,64,69,73,45,46,42,39,37,37,n.a.,75,83,85,83,88,94,90,89,86
153.,LIEDON LAMPO OY,KIRKKOTIE 13,LIETO,Finland,3530,n.a.,3,2,2,2,2,2,2,2,1,n.a.,n.a.,1,1,n.a.,1,n.a.,2,n.a.,n.a.
136.,LINMER LOHJA OY,KOTKANTIE 5,LOHJA,Finland,6820,n.a.,6,52,68,76,80,77,83,74,103,n.a.,36,150,190,195,195,201,35,248,n.a.
132.,LOHJAN BIOLAMPO OY,TEHTAANKATU 1,LOHJA,Finland,3513,n.a.,7,6,7,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,1,n.a.,1,n.a.,n.a.,n.a.,n.a.
139.,LOIMAAN KAUKOLAMPO OY,LINJAKATU 1,LOIMAA,Finland,3530,n.a.,5,4,5,5,5,4,4,4,3,n.a.,6,6,6,6,6,6,6,6,6
108.,LOISTE LAMPO OY,KETTUKALLIONTIE 3,KAJAANI,Finland,3530,n.a.,18,17,17,16,17,16,17,16,15,n.a.,4,4,4,6,6,6,6,6,6
64.,LUVIAN SAHA OY,SAHANTIE 1,LUVIA,Finland,1610,n.a.,80,70,70,68,56,61,n.a.,46,47,n.a.,113,102,104,107,104,118,n.a.,126,128
110.,MANTAN ENERGIA OY,TEHTAANKATU 20,MANTTA,Finland,3511,n.a.,13,12,14,15,13,13,12,11,10,n.a.,n.a.,24,27,26,26,28,29,29,27
137.,MANTAN KAUKOLAMPO JA VESIHUOLTO OY,SEPPALAN PUISTOTIE 15,MANTTA,Finland,3530,n.a.,6,6,3,3,3,2,2,2,2,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,1
147.,MARIEHAMNS BIOENERGI AB,FABRIKSGATAN 5,MARIEHAMN,Finland,3511,n.a.,4,4,4,3,3,3,4,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
115.,MARIEHAMNS ENERGI AB,NEPTUNIGATAN 2,MARIEHAMN,Finland,3511,n.a.,12,12,13,13,14,11,10,8,8,n.a.,n.a.,20,20,19,21,19,15,15,16
22.,METSA BOARD KEMI OY,M-REAL KEMIART LINERS,KEMI,Finland,1712,n.a.,320,334,280,282,258,250,250,193,222,n.a.,91,n.a.,n.a.,106,105,106,98,123,132
7.,METSA BOARD OYJ,P.O. BOX: 20,ESPOO,Finland,1712,n.a.,"1,744","2,031","2,042","2,062","2,144","2,533","2,681","2,541","3,328",n.a.,"2,466","2,601","3,111","3,116","3,279","4,070","4,538","4,903","6,546"
9.,METSA FIBRE OY,REVONTULENPUISTO 2,ESPOO,Finland,1711,n.a.,"1,395",n.a.,n.a.,n.a.,n.a.,n.a.,"1,385",935,"1,703",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,006","1,199","1,815"
171.,MUSSALON VOIMA OY,PL 108,KOTKA,Finland,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
158.,MUURAMEN LAMPO OY,KAUPPAKATU 16,JYVASKYLA,Finland,3530,n.a.,2,2,2,2,2,2,2,1,1,n.a.,10,n.a.,10,10,n.a.,10,10,10,10
66.,NAPAPIIRIN ENERGIA JA VESI OY,KOSKIKATU 27,ROVANIEMI,Finland,3511,n.a.,75,63,52,49,48,46,47,40,40,n.a.,142,124,100,121,120,112,108,103,100
1.,NESTE OYJ,P.O. BOX: 95,NESTE,Finland,1920,n.a.,"11,732","11,160","15,066","17,492","17,905","15,444","11,966","9,663","15,075",n.a.,"5,001","4,856","4,989","5,097","5,031","4,926","5,030","5,286","5,174"
143.,NIVALAN KAUKOLAMPO OY,HYTTITIE 5,NIVALA,Finland,3511,n.a.,4,4,4,6,4,3,3,2,2,n.a.,n.a.,5,7,7,6,5,5,5,5
111.,NORDIC GLOBAL AIRLINES OY,TEKNIKONTIE 5,VANTAA,Finland,5121,n.a.,12,n.a.,43,28,29,7,n.a.,n.a.,n.a.,n.a.,13,n.a.,33,20,10,5,n.a.,n.a.,n.a.
58.,NORDIC REGIONAL AIRLINES OY,OLJYKUJA 2,VANTAA,Finland,5110,n.a.,108,101,279,294,238,123,81,86,98,n.a.,76,590,595,586,438,n.a.,267,248,247
48.,NORDKALK OY AB,SKRABBOLENTIE 18,PARAINEN,Finland,0811,n.a.,140,137,153,160,149,162,147,140,154,n.a.,407,428,458,475,486,507,n.a.,511,579
141.,NURMEKSEN LAMPO OY,KAUPPATORI 3,NURMES,Finland,3530,n.a.,5,5,5,4,4,4,4,3,3,n.a.,9,9,n.a.,8,10,8,n.a.,n.a.,9
94.,NURMIJARVEN SAHKO OY,KAUPPANUMMENTIE 1,NURMIJARVI,Finland,3514,n.a.,31,30,32,32,33,31,31,30,27,n.a.,36,36,37,36,36,34,34,33,33
25.,OULUN ENERGIA OY,KASARMINTIE 6,OULU,Finland,3511,n.a.,304,262,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
121.,OUTOKUMMUN ENERGIA OY,KUUSJARVENTIE 3,OUTOKUMPU,Finland,3512,n.a.,10,9,10,9,10,9,9,9,8,n.a.,19,22,20,17,21,21,21,23,23
4.,OUTOKUMPU STAINLESS OY,TERASTIE,TORNIO,Finland,2410,n.a.,"4,215","4,681","2,770","2,183","2,321","2,474","2,220","1,266","2,695",n.a.,"1,868","1,858","1,872","1,904","2,076","2,239","2,178","2,037","2,241"
42.,OVAKO IMATRA OY AB,TERASTEHTAANTIE 1,IMATRA,Finland,2410,n.a.,161,157,184,167,182,253,209,81,275,n.a.,538,564,557,576,592,612,582,617,n.a.
37.,OY AGA AB,ITSEHALLINTOKUJA 6,ESPOO,Finland,2011,n.a.,192,173,173,175,183,189,184,171,186,n.a.,283,293,291,296,299,305,338,337,342
82.,OY ALHOLMENS KRAFT AB,LUODONTIE 149,PIETARSAARI,Finland,3511,n.a.,44,45,62,71,67,90,80,67,81,n.a.,43,n.a.,44,44,45,44,42,43,43
41.,OY HERRFORS AB,KOPMANSGATAN 10,PIETARSAARI,Finland,3512,n.a.,163,163,162,135,92,99,102,75,86,n.a.,215,212,175,169,89,50,50,46,51
83.,OY PERHONJOKI AB,KOPMANSGATAN 10,PIETARSAARI,Finland,3511,n.a.,44,47,61,65,59,76,79,60,66,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30.,OY TURKU ENERGIA-AABO ENERGI AB,LINNANKATU 65,TURKU,Finland,3513,n.a.,256,240,255,269,281,228,206,198,186,n.a.,288,287,297,301,312,311,294,293,297
149.,PAIMION LAMPOKESKUS OY,TEHDASTIE 8,PAIMIO,Finland,3530,n.a.,4,4,4,4,4,3,4,3,3,n.a.,4,4,n.a.,4,4,4,4,n.a.,n.a.
72.,PANKAKOSKI MILL OY,RUUKINTIE 2,PANKAKOSKI,Finland,1712,n.a.,64,73,72,74,72,75,63,54,57,n.a.,160,168,170,168,169,176,187,180,185
135.,PANSION LAMPO AVOIN YHTIO,PL 844,TURKU,Finland,3530,n.a.,6,6,6,6,6,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,2,2,n.a.,n.a.,n.a.,n.a.
57.,PAROC OY AB,ENERGIAKUJA 3,HELSINKI,Finland,2399,n.a.,109,109,87,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,368,447,522,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
140.,PILKINGTON LAHDEN LASITEHDAS OY,NIEMENKATU 73,LAHTI,Finland,2311,n.a.,5,0,0,2,2,8,8,13,29,n.a.,3,3,3,4,24,29,33,58,114
172.,POHJOIS-POHJANMAAN SAIRAANHOITOPIIRIN KUNTAYHTYMA,KAJAANINTIE 50,OULU,Finland,8412,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
44.,POLKKY OY,KEMIJARVENTIE 73,KUUSAMO,Finland,1610,n.a.,150,156,159,153,120,103,105,66,68,n.a.,210,213,206,205,196,197,190,194,209
45.,PORI ENERGIA OY,RADANVARSI 2,PORI,Finland,3511,n.a.,149,163,187,191,177,161,145,145,137,n.a.,257,287,302,301,291,281,274,279,289
71.,PORVOON ENERGIA OY - BORGAA ENERGI AB,MANNERHEIMINKATU 24,PORVOO,Finland,3511,n.a.,71,61,58,57,58,53,54,49,46,n.a.,98,98,102,105,102,102,105,105,102
19.,POWERFLUTE OYJ,P.O. BOX 57,KUOPIO,Finland,1729,n.a.,n.a.,357,150,130,113,122,312,288,108,n.a.,n.a.,"1,084",201,204,201,196,788,792,199
167.,PREMIUM BOARD FINLAND OY,JUANKOSKENTIE 7,JUANKOSKI,Finland,1721,0,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.,22,n.a.,19,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
133.,PUNKAVOIMA OY,TEHTAANTIE 18,PUNKAHARJU,Finland,3513,n.a.,6,6,7,5,6,5,6,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
164.,PVO-HUIPPUVOIMA OY,KIRKKOPUISTIKKO O,VAASA,Finland,3511,n.a.,0,3,3,4,5,4,5,5,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
96.,RAUMAN ENERGIA OY,KAIRAKATU 4,RAUMA,Finland,3513,n.a.,27,24,28,28,30,n.a.,31,26,38,n.a.,16,35,41,43,43,n.a.,39,39,n.a.
114.,RIIHIMAEN KAUKOLAMPO OY,LOPENTIE 15-17,RIIHIMAKI,Finland,3530,n.a.,12,12,11,11,11,10,10,9,8,n.a.,2,2,2,2,2,2,2,2,2
163.,RIVER AVIATION OY,ILMAILUTIE 7,POJANLUOMA,Finland,7735,n.a.,1,1,1,1,1,1,0,0,1,n.a.,2,n.a.,n.a.,2,2,2,2,2,n.a.
173.,ROVANIEMEN KOULUTUSKUNTAYHTYMA,KORVANRANTA 50,ROVANIEMI,Finland,8532,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
35.,SAINT-GOBAIN FINLAND OY,STROMBERGINKUJA 2,HELSINKI,Finland,2369,n.a.,214,207,113,111,110,122,113,104,213,n.a.,663,701,379,n.a.,396,389,393,415,474
125.,SALON ENERGIANTUOTANTO OY,C/O VAPO OY PL 22,JYVASKYLA,Finland,3511,9,8,10,13,15,n.a.,n.a.,n.a.,n.a.,n.a.,10,13,12,12,15,n.a.,n.a.,n.a.,n.a.,n.a.
118.,SALON KAUKOLAMPO OY,SATAMAKATU 9,SALO,Finland,3530,n.a.,11,11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
63.,SAPPI FINLAND I OY,KIRKNIEMI,LOHJA,Finland,1712,n.a.,89,64,66,79,107,505,429,310,n.a.,n.a.,510,528,555,576,592,n.a.,679,625,n.a.
14.,SAPPI FINLAND OPERATIONS OY,KIRKNIEMI,LOHJA,Finland,4649,n.a.,410,422,418,457,543,0,0,0,n.a.,n.a.,n.a.,18,19,20,20,n.a.,n.a.,n.a.,n.a.
38.,SAVON VOIMA OYJ,KAPTEENINVAYLA 5,TOIVALA,Finland,3513,n.a.,185,187,191,197,216,212,242,222,257,n.a.,177,182,175,175,176,175,188,208,265
67.,SEINAJOEN ENERGIA OY,VARASTOTIE 5,SEINAJOKI,Finland,3513,n.a.,74,70,75,77,71,78,64,57,51,n.a.,112,109,114,113,115,108,80,80,70
123.,SKANGAS OY,REVONTULENPUISTO 2 C,ESPOO,Finland,0910,n.a.,9,4,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10,7,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
87.,SMA MINERAL OY,SELLEENKATU/ROYTTA,TORNIO,Finland,0811,n.a.,39,33,34,30,26,24,22,15,21,n.a.,32,30,30,31,34,n.a.,36,n.a.,34
161.,SODANKYLAN LAMPO JA VESI OY,KASARMINTIE 10,SODANKYLA,Finland,3600,n.a.,1,1,1,1,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,10,10,n.a.,11,n.a.
80.,SONOCO-ALCORE OY,KARHULANTIE 160,KOTKA,Finland,1712,n.a.,49,51,55,48,47,54,51,47,48,n.a.,156,n.a.,n.a.,n.a.,n.a.,n.a.,178,175,171
8.,SSAB EUROPE OY,HARVIALANTIE 420,HAMEENLINNA,Finland,2410,n.a.,"1,588","1,595","1,655","1,668","1,810","1,327",n.a.,n.a.,n.a.,n.a.,"3,936","4,205","4,503","4,506","4,655","4,738",n.a.,n.a.,n.a.
175.,STORA ENSO OULU OY,PL 309,HELSINKI,Finland,1712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2.,STORA ENSO OYJ,P.O. BOX: 309,HELSINKI,Finland,1712,n.a.,"9,916","10,164","10,337","10,829","10,987","11,170","10,446","9,085","11,140",n.a.,"25,447","25,680","27,200","28,231","28,777","27,958","27,383","28,696","33,815"
176.,STORA ENSO VEITSILUOTO OY,PL 309,HELSINKI,Finland,1712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39.,SUCROS OY,MAAKUNNANTIE 4,SAKYLA,Finland,1081,n.a.,178,145,187,240,221,166,136,156,150,n.a.,276,275,278,291,276,273,270,278,292
54.,SUOMEN SOKERI OY,SOKERITEHTAANTIE 20,KANTVIK,Finland,1081,n.a.,121,115,149,173,196,149,123,136,130,n.a.,186,187,187,198,188,186,183,190,207
93.,SUOMEN TEOLLISUUDEN ENERGIAPALVELUT - STEP OY,RADANVARSI 2,PORI,Finland,3511,n.a.,32,28,31,33,33,31,21,22,7,n.a.,38,35,31,27,17,17,15,15,15
152.,SUOMUSSALMEN ENERGIA OY,KAUPPAKATU 20,SUOMUSSALMI,Finland,3530,n.a.,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
