,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
907.,Glasfabrik Lamberts GmbH & Co. KG,EGERSTR. 197,WUNSIEDEL,Germany,2311,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14,n.a.,137,137,135,135,120,120,n.a.,n.a.,127,n.a.
504.,Glashütte Freital GmbH,DRESDNER STR. 136,FREITAL,Germany,2313,n.a.,n.a.,12,12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,80,78,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
354.,Glaswerk Ernstthal GmbH,GLASWERKSTR. 29,LAUSCHA,Germany,2313,n.a.,n.a.,85,85,82,79,82,81,76,65,n.a.,n.a.,516,517,506,497,486,467,458,409
353.,Glatfelter Dresden GmbH,PIRNAER STR. 31 -33,HEIDENAU,Germany,1712,n.a.,n.a.,85,113,123,120,108,105,75,72,n.a.,n.a.,139,141,139,137,133,128,124,121
228.,Glatfelter Gernsbach GmbH,HOERDENER STR. 3 -7,GERNSBACH,Germany,1712,n.a.,n.a.,226,83,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,616,620,4,n.a.,n.a.,n.a.,n.a.,n.a.
470.,Glatfelter Ober-Schmitten GmbH,RHOENSTR. 13,NIDDA,Germany,1712,n.a.,n.a.,27,26,27,25,29,30,n.a.,n.a.,n.a.,n.a.,187,188,195,207,215,215,215,219
522.,Globalis Service GmbH & Co. KG,HENRY-FORD-STR. 1,DUEREN,Germany,8122,n.a.,n.a.,n.a.,6,6,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,50,49,49,n.a.,n.a.,n.a.,n.a.
854.,GLOCKENBROT BAECKEREI GMBH & CO. OHG,DOMSTR. 20,KOELN,Germany,1071,n.a.,n.a.,n.a.,n.a.,n.a.,272,270,n.a.,n.a.,n.a.,"1,500","1,500","1,500","1,500","1,500","1,500","1,500",n.a.,n.a.,n.a.
430.,GMB Glasmanufaktur Brandenburg GmbH,SPREMBERGER STR. 4,TSCHERNITZ,Germany,2319,n.a.,46,44,57,36,39,n.a.,n.a.,n.a.,n.a.,n.a.,274,274,267,267,245,236,218,212,129
435.,GMB GmbH,KNAPPENSTR. 1,SENFTENBERG,Germany,7112,n.a.,n.a.,42,37,39,37,38,32,38,35,n.a.,n.a.,284,297,315,305,306,308,309,290
535.,GOLEM Kunst- und Baukeramik GmbH,ALTE FRANKFURTER STR. 2 A,JACOBSDORF,Germany,2320,n.a.,n.a.,4,3,3,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,80,51,48,48,n.a.,n.a.,n.a.,n.a.
98.,Goodyear Dunlop Tires Germany GmbH,DUNLOPSTR. 2,HANAU,Germany,2211,n.a.,n.a.,837,833,790,816,849,"1,017","2,099","2,211",n.a.,n.a.,"6,905","6,769","6,758","6,914","7,245","7,018","6,635","7,002"
923.,GPV-Grundstücks- und Pensionsverw. GmbH & Co. KG,BEUTHENER STR. 41,NUERNBERG,Germany,7490,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
130.,GRACE GmbH & Co.KG,IN DER HOLLERHECKE 1,WORMS,Germany,2060,n.a.,n.a.,551,529,526,608,611,n.a.,n.a.,257,n.a.,n.a.,637,655,668,673,665,n.a.,n.a.,195
440.,GRACE Silica GmbH,KREUZAUER STR. 46,DUEREN,Germany,2013,n.a.,n.a.,40,39,n.a.,n.a.,n.a.,n.a.,n.a.,35,n.a.,n.a.,94,95,n.a.,n.a.,n.a.,n.a.,n.a.,98
191.,Grillo-Werke Aktiengesellschaft,WESELER STR. 1,DUISBURG,Germany,2443,n.a.,306,314,292,261,257,276,234,n.a.,n.a.,n.a.,530,534,522,508,501,490,484,n.a.,n.a.
120.,Großkraftwerk Mannheim Aktiengesellschaft,MARGUERRESTR. 1,MANNHEIM,Germany,3511,n.a.,n.a.,620,521,533,520,554,474,433,536,n.a.,n.a.,581,608,617,610,612,593,582,579
506.,Grundstücks- und Wohnwirtschafts GmbH Anklam,STOCKHOLMER STR. 21,ANKLAM,Germany,6820,n.a.,n.a.,11,12,12,11,12,12,12,12,n.a.,n.a.,35,33,35,35,36,37,36,38
678.,Grüne Energie Derne GmbH,HESSENSTR. 57,KREFELD,Germany,0910,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
110.,Grünenthal GmbH,ZIEGLERSTR. 6,AACHEN,Germany,2013,n.a.,729,666,629,509,676,607,861,497,450,n.a.,"1,461","1,389","1,439","1,620","1,664","1,643","1,630","1,642","1,574"
484.,Grünperga Papier GmbH,AM GUETERBAHNHOF 3,GRUENHAINICHEN,Germany,1712,n.a.,21,21,20,19,18,18,17,15,15,n.a.,106,104,108,105,101,97,96,95,87
542.,GRUSS & CO INC,667 MADISON AVE,NEW YORK,United States of America,7022,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
283.,"GSW Gemeinschaftsstadtwerke GmbH Kamen, Bönen, Bergkamen",POSTSTR. 4,KAMEN,Germany,3510,n.a.,n.a.,142,144,153,143,133,137,135,138,n.a.,n.a.,183,189,192,189,177,175,167,177
547.,GT-HKW Niehl GmbH,AM MOLENKOPF 3,KOELN,Germany,3530,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
445.,GUARDIAN Flachglas GmbH,GUARDIANSTR. 1,BITTERFELD-WOLFEN,Germany,2311,n.a.,n.a.,38,47,43,44,52,101,n.a.,n.a.,n.a.,n.a.,309,304,308,311,313,304,n.a.,n.a.
691.,Gülich GmbH & Co.KG,ROBERT-BUNSEN-STR. 15,BEBRA,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25,25,n.a.
281.,Gunvor Raffinerie Ingolstadt GmbH,ESSOSTR. 1,KOESCHING,Germany,1920,n.a.,151,152,153,144,56,n.a.,n.a.,n.a.,n.a.,n.a.,341,334,323,310,300,n.a.,n.a.,n.a.,n.a.
790.,H & R Chemisch-Pharmazeutische Spezialitäten GmbH,NEUENKIRCHENER STR. 8,SALZBERGEN,Germany,1920,n.a.,86,83,81,n.a.,417,420,n.a.,n.a.,n.a.,277,n.a.,n.a.,n.a.,n.a.,450,n.a.,n.a.,n.a.,n.a.
766.,H & R Ölwerke Schindler GmbH,NEUHOEFER BRUECKENSTR. 127 -152,HAMBURG,Germany,1920,n.a.,740,740,n.a.,732,793,n.a.,n.a.,n.a.,n.a.,250,250,n.a.,n.a.,247,248,n.a.,n.a.,n.a.,n.a.
290.,H. E. S. Hennigsdorfer Elektrostahlwerke GmbH,WOLFGANG-KUENTSCHER-STR. 18,HENNIGSDORF,Germany,2410,n.a.,n.a.,130,138,138,146,133,129,113,160,n.a.,n.a.,679,694,982,685,665,650,677,699
658.,"HAGEMEISTER GMBH & CO KG, ZIEGELWERK",BUXTRUP 3,NOTTULN,Germany,7739,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,3,123,81,115,118,120
707.,Hagenburger Feuerfeste Produkte KG,OBERSUELZER STR. 16 A,GRUENSTADT,Germany,2320,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,134,137,133,137,138,131,138,n.a.
385.,Hakle GmbH,BONNER STR. 201,DUESSELDORF,Germany,1722,n.a.,n.a.,66,67,40,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,208,211,217,n.a.,n.a.,n.a.,n.a.,n.a.
384.,Halberstadtwerke GmbH,WEHRSTEDTER STR. 48,HALBERSTADT,Germany,3510,n.a.,n.a.,67,64,62,57,55,56,56,54,n.a.,n.a.,106,99,96,94,101,107,101,105
771.,HALTERMANN CARLESS DEUTSCHLAND GMBH,SCHLENGENDEICH 17,HAMBURG,Germany,2059,n.a.,169,183,212,213,197,88,n.a.,n.a.,n.a.,189,189,187,175,175,175,2,n.a.,n.a.,n.a.
934.,Hamburger Handelsgesellschaft mbH & Co. KG,RIEGERSTR. 4,TROSTBERG,Germany,4690,n.a.,n.a.,17,16,16,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,7,7,7,n.a.,n.a.,n.a.,n.a.,n.a.
818.,Hamburger Rieger Gelsenkirchen GmbH & Co. KG,ALFRED-ZINGLER-STR. 15,GELSENKIRCHEN,Germany,1721,n.a.,n.a.,n.a.,n.a.,84,83,87,n.a.,n.a.,n.a.,165,140,140,140,130,125,120,n.a.,n.a.,n.a.
216.,Hamburger Rieger GmbH,RIEGERSTR. 4,TROSTBERG,Germany,4649,n.a.,n.a.,263,280,280,n.a.,n.a.,6,5,14,n.a.,n.a.,422,392,378,n.a.,n.a.,n.a.,n.a.,n.a.
420.,Hammerwerk Erft G. Diederichs GmbH & Co KG,ERNST-DIEDERICHS-STR. 1,BAD MUENSTEREIFEL,Germany,2550,n.a.,n.a.,50,53,57,60,66,59,63,120,n.a.,n.a.,279,287,286,285,277,273,274,272
881.,Hans G. Hauri KG Mineralstoffwerke,BERGSTR. 114,BOETZINGEN,Germany,0811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,80,80,80,80,n.a.,80,n.a.,n.a.,n.a.
206.,Hans Kolb Papierfabrik GmbH & Co. KG,ADELINDASTR. 15,KAUFBEUREN,Germany,1712,n.a.,291,262,238,247,260,n.a.,n.a.,n.a.,n.a.,n.a.,"1,152","1,112",986,"1,006","1,016",n.a.,n.a.,n.a.,n.a.
275.,HanseWerk Natur GmbH,AM RADELAND 25,HAMBURG,Germany,3511,n.a.,n.a.,150,153,178,168,155,139,155,148,n.a.,n.a.,152,148,154,147,148,130,118,101
87.,Hansgrohe SE,AUESTR. 5 -9,SCHILTACH,Germany,2814,n.a.,n.a.,995,904,858,831,788,720,636,670,n.a.,n.a.,"3,576","3,434","3,327","3,216","3,082","3,008",n.a.,"3,060"
720.,Hart Keramik AG,MITTERTEICHER STR. 6,WALDSASSEN,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,122,136,132,125,131,134,127,135
409.,Harz-Metall GmbH,HUETTENSTR. 6,GOSLAR,Germany,2443,n.a.,n.a.,54,58,62,62,58,53,40,44,n.a.,n.a.,84,88,86,79,77,69,68,67
808.,Hasseröder Brauerei GmbH,AUERHAHNRING 1 DE,WERNIGERODE,Germany,1105,n.a.,n.a.,n.a.,53,58,n.a.,n.a.,n.a.,n.a.,n.a.,259,225,225,237,323,323,300,n.a.,n.a.,n.a.
288.,Hawker GmbH,DIECKSTR. 42,HAGEN,Germany,2720,n.a.,n.a.,126,129,138,147,146,126,124,195,n.a.,n.a.,498,503,563,565,580,524,546,585
491.,HBB Heizkraftwerk Bauernfeind Betreiber GmbH,ROSENHEIMER STR. 37,RAUBLING,Germany,3530,n.a.,n.a.,18,19,22,22,19,18,n.a.,n.a.,n.a.,n.a.,2,3,3,3,n.a.,n.a.,n.a.,n.a.
523.,HBG - Heizwerkbetriebsgesellschaft Reutlingen mbH,FEDERNSEESTR. 17,REUTLINGEN,Germany,3530,n.a.,6,7,7,7,7,7,7,8,7,n.a.,17,20,21,20,23,21,22,22,22
15.,HeidelbergCement AG,BERLINER STRASSE 6,HEIDELBERG,Germany,2351,n.a.,"15,457","13,753","12,801","12,324","14,277","13,122","12,009","11,362","14,439",n.a.,"60,424","45,453","49,446","49,427","51,966","52,526","53,437","53,302","60,841"
577.,Heidelberger Druckmaschinen AG,,,Brazil,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
349.,Heilbronner Versorgungs GmbH,WEIPERTSTR. 41,HEILBRONN,Germany,8411,n.a.,n.a.,88,87,86,84,81,86,111,122,n.a.,n.a.,204,206,205,204,205,204,202,201
823.,Heinrich Meier Eisengießerei GmbH & Co. KG,AUF DER WELLE 5 - 7,RAHDEN,Germany,2451,n.a.,n.a.,n.a.,n.a.,n.a.,44,57,n.a.,n.a.,n.a.,135,135,135,230,230,217,214,n.a.,n.a.,n.a.
910.,Heinz-Glas Produktion GmbH & Co.KGaA,GLASHUETTENPLATZ 1 -7,TETTAU,Germany,2319,n.a.,n.a.,n.a.,n.a.,56,13,n.a.,n.a.,n.a.,n.a.,70,70,70,70,70,34,n.a.,n.a.,n.a.,n.a.
457.,Heizkraftwerk Halle-Trotha GmbH,BORNKNECHTSTR. 5,HALLE,Germany,3530,n.a.,n.a.,34,40,37,70,64,77,78,94,n.a.,n.a.,2,3,3,3,3,n.a.,n.a.,n.a.
465.,Heizkraftwerk Pforzheim GmbH,SANDWEG 22,PFORZHEIM,Germany,3530,n.a.,29,30,31,34,38,34,30,35,41,n.a.,3,3,3,4,6,6,6,6,6
424.,Heizkraftwerk Würzburg GmbH,HAUGERRING 5,WUERZBURG,Germany,3511,n.a.,n.a.,48,47,55,73,74,69,72,58,n.a.,n.a.,1,1,1,1,2,n.a.,n.a.,n.a.
632.,Heizwerkgenossenschaft Gönnebek eG,GAERTNERSIEDLUNG 4,GOENNEBEK,Germany,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,3,3,n.a.,n.a.,3,n.a.
24.,Hella KGaA Hueck & Co.,RIXBECKER STRASSE 75,LIPPSTADT,Germany,2740,"6,631","6,398","5,886","5,343","5,035","4,833",n.a.,n.a.,n.a.,n.a.,"37,716","33,689","31,864","30,692","29,030","27,348",n.a.,n.a.,n.a.,n.a.
205.,Helmholtz Zentrum München Dt. Forschungszentrum f. Umwelt  (GmbH),INGOLSTAEDTER LANDSTR. 1,OBERSCHLEISSHEIM,Germany,7219,n.a.,n.a.,283,267,265,273,214,227,176,291,n.a.,n.a.,"1,962","1,963","1,959","1,890","1,754","1,675","1,605","1,755"
300.,HELMSTEDTER REVIER GMBH,AM KRAFTWERK 1,BUEDDENSTEDT,Germany,0520,n.a.,n.a.,123,112,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,402,420,1,n.a.,n.a.,n.a.,n.a.,n.a.
12.,Henkel AG & Co. KGaA,POSTFACH 13 01 28,DUSSELDORF,Germany,2041,n.a.,"18,810","18,182","16,530","16,424","16,571","15,762","15,221","13,665","14,233",n.a.,"51,350","49,450","49,750","46,850","46,610","47,265","47,854","49,262","55,142"
875.,Heraeus Liegenschafts u Facility Man. GmbH & Co.KG,HERAEUSSTR. 12 -14,HANAU,Germany,6832,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,100,100,100,100,100,100,100,n.a.,n.a.,n.a.
891.,HERBSTREITH & FOX KG PEKTIN-FABRIKEN,TURNSTR. 37,NEUENBUERG,Germany,2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,187,187,187,187,187,187,187,n.a.,n.a.,n.a.
822.,Herforder Brauerei GmbH & Co.KG,GEBR.-UEKERMANN-STR. 1,HIDDENHAUSEN,Germany,1105,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,130,130,130,130,130,130,130,n.a.,n.a.
729.,Hermann Trollius GmbH,AM HAESELBERG 1,LAUTERHOFEN,Germany,0811,n.a.,n.a.,n.a.,n.a.,15,14,n.a.,n.a.,n.a.,n.a.,n.a.,66,64,63,60,55,54,38,46,47
468.,Hermes Schleifkörper GmbH,LOHRMANNSTR. 21,DRESDEN,Germany,2391,n.a.,n.a.,28,28,27,29,29,n.a.,18,27,n.a.,n.a.,177,172,177,185,182,173,165,178
711.,Herrenknecht Aviation GmbH,SCHLEHENWEG 2,SCHWANAU,Germany,7735,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,5,5,5,5,n.a.,n.a.,n.a.,n.a.
481.,HES Wilhelmshaven GmbH,RAFFINERIESTR. 1,WILHELMSHAVEN,Germany,4671,n.a.,n.a.,22,21,14,22,n.a.,983,"2,107","3,444",n.a.,n.a.,84,81,75,64,n.a.,402,408,378
689.,HESSISCHE SCHMELZTIEGEL UND SCHAMOTTSTEINFABRIK CONRAD LIPHARD & SOEHNE GMBH,DIETER-LIPHARDT-STR. 9 -11,GROSSALMERODE,Germany,2320,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,7,n.a.,n.a.,81,n.a.,86,86,n.a.,n.a.,n.a.,n.a.
229.,Hexion GmbH,GENNAER STR. 2 - 4,ISERLOHN,Germany,2016,n.a.,n.a.,226,246,251,234,243,224,188,271,n.a.,n.a.,673,643,654,644,633,648,704,721
72.,Hochwald Foods GmbH,BAHNHOFSTR. 37 -43,THALFANG,Germany,1050,n.a.,n.a.,"1,346","1,488","1,411","1,235","1,255","1,161","1,073","1,273",n.a.,n.a.,"1,493","1,426","1,349","1,303","1,271","1,305","1,412","1,431"
487.,Hörl & Hartmann Ziegeltechnik GmbH & Co. KG,PELLHEIMER STR. 17,DACHAU,Germany,2892,n.a.,n.a.,n.a.,n.a.,n.a.,15,15,15,15,15,n.a.,n.a.,n.a.,n.a.,n.a.,68,68,68,68,68
317.,Hoesch Schwerter Profile GmbH,EISENINDUSTRIESTR. 1,SCHWERTE,Germany,2433,n.a.,n.a.,107,103,95,108,120,102,70,174,n.a.,n.a.,514,486,515,533,522,563,661,714
236.,Holborn Europa Raffinerie GmbH,MOORBURGER STR. 16,HAMBURG,Germany,1920,n.a.,219,159,137,173,125,135,126,136,196,n.a.,318,311,306,308,306,303,305,299,285
235.,HOLCIM (DEUTSCHLAND) GMBH,WILLY-BRANDT-STR. 69,HAMBURG,Germany,2351,n.a.,221,243,230,215,245,259,236,236,263,n.a.,609,633,605,643,657,645,622,625,636
351.,Holcim (Süddeutschland) GmbH,DORMETTINGER STR. 23,DOTTERNHAUSEN,Germany,2351,n.a.,89,84,86,83,83,87,72,61,66,n.a.,228,222,218,215,199,194,188,191,194
334.,Holcim WestZement GmbH,AM KOLLENBACH 27,BECKUM,Germany,2351,n.a.,n.a.,96,128,113,115,140,125,139,178,n.a.,n.a.,185,187,186,188,188,194,196,215
660.,Hollager Ziegelw. Berentelg & Hebrok GmbH & Co. KG,GRUENER WEG 8,RECKE,Germany,2332,n.a.,n.a.,n.a.,n.a.,5,5,4,4,3,4,n.a.,n.a.,32,32,33,33,32,26,n.a.,n.a.
873.,Hollingsworth & Vose GmbH,BERLEBURGER STR. 71,HATZFELD,Germany,1729,n.a.,71,68,69,75,73,73,n.a.,n.a.,n.a.,342,342,347,330,325,320,300,n.a.,n.a.,n.a.
368.,HOMANIT GmbH & Co KG,NIEDERLOSHEIMER STR. 109,LOSHEIM AM SEE,Germany,1621,n.a.,n.a.,76,79,81,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,267,285,320,n.a.,n.a.,n.a.,n.a.,n.a.
122.,HOMANN Feinkost GmbH,BAHNHOFSTR. 4,DISSEN,Germany,1089,n.a.,630,535,553,576,594,576,399,n.a.,n.a.,n.a.,"2,500",n.a.,n.a.,n.a.,"1,687",n.a.,n.a.,n.a.,n.a.
